fecha_precio;valor
2021-08-31;101525,31
2021-09-01;99619,06
2021-09-02;99221,06
2021-09-03;98471,27
2021-09-06;100105,86
2021-09-07;104718,72
2021-09-08;102611,45
2021-09-09;102209,52
2021-09-10;100593,62
2021-09-13;106649,80
2021-09-14;105105,89
2021-09-15;104247,56
2021-09-16;106121,13
2021-09-17;104698,87
2021-09-20;97922,88
2021-09-21;98219,76
2021-09-22;99707,70
2021-09-23;99722,91
2021-09-24;98849,24
2021-09-27;101040,18
2021-09-28;101081,19
2021-09-29;102287,21
2021-09-30;103223,12
2021-10-01;103526,84
2021-10-04;103540,33
2021-10-05;104280,85
2021-10-06;103322,68
2021-10-07;103514,97
2021-10-12;104076,09
2021-10-13;104635,58
2021-10-14;106852,43
2021-10-15;109396,29
2021-10-18;110425,77
2021-10-19;112333,80
2021-10-20;116362,79
2021-10-21;116021,38
2021-10-22;116077,66
2021-10-25;119281,36
2021-10-26;118669,14
2021-10-27;113825,47
2021-10-28;114767,76
2021-10-29;111191,64
2021-11-01;116310,66
2021-11-02;118800,62
2021-11-03;122334,99
2021-11-04;120657,82
2021-11-05;122486,44
2021-11-08;126864,75
2021-11-09;125164,71
2021-11-10;126064,14
2021-11-11;127166,14
2021-11-12;125547,46
2021-11-15;122779,31
2021-11-16;118019,61
2021-11-17;115263,73
2021-11-18;118105,07
2021-11-19;112922,82
2021-11-23;110133,65
2021-11-24;109847,14
2021-11-25;111808,43
2021-11-26;105703,23
2021-11-29;104043,82
2021-11-30;104570,59
2021-12-01;112755,94
2021-12-02;115650,10
2021-12-03;114070,92
2021-12-06;116492,53
2021-12-07;117861,11
2021-12-09;114074,96
2021-12-10;112399,72
2021-12-13;107746,00
2021-12-14;108019,24
2021-12-15;106233,18
2021-12-16;109083,81
2021-12-17;109407,02
2021-12-20;107863,79
2021-12-21;111041,19
2021-12-22;110104,07
2021-12-23;111634,37
2021-12-27;111261,79
2021-12-28;108740,63
2021-12-29;110396,15
2021-12-30;109759,57
2022-01-03;112737,06
2022-01-04;112079,56
2022-01-05;109929,71
2022-01-06;110101,99
2022-01-07;111080,48
2022-01-10;110151,42
2022-01-11;111628,55
2022-01-12;112285,56
2022-01-13;112744,20
2022-01-14;112894,72
2022-01-17;112316,38
2022-01-18;109916,31
2022-01-19;110215,28
2022-01-20;112599,74
2022-01-21;110314,01
2022-01-24;106996,52
2022-01-25;112695,87
2022-01-26;113525,90
2022-01-27;113599,48
2022-01-28;117013,82
2022-01-31;120984,51
2022-02-01;121617,81
2022-02-02;118968,89
2022-02-03;116759,62
2022-02-04;116327,98
2022-02-07;118008,17
2022-02-08;116248,07
2022-02-09;115147,20
2022-02-10;115493,37
2022-02-11;116484,73
2022-02-14;115529,50
2022-02-15;115911,09
2022-02-16;119447,65
2022-02-17;118281,88
2022-02-18;117804,49
2022-02-21;118782,67
2022-02-22;119749,03
2022-02-23;121102,28
2022-02-24;117449,74
2022-02-25;116202,76
2022-03-02;119438,20
2022-03-03;121544,95
2022-03-04;118229,53
2022-03-07;115923,69
2022-03-08;116417,14
2022-03-09;115477,74
2022-03-10;119704,52
2022-03-11;117597,47
2022-03-14;111952,61
2022-03-15;110924,26
2022-03-16;115337,68
2022-03-17;118120,30
2022-03-18;117325,65
2022-03-21;118923,82
2022-03-22;119427,02
2022-03-23;119451,87
2022-03-25;123501,28
2022-03-28;121634,67
2022-03-29;119368,42
2022-03-30;120811,52
2022-03-31;120829,98
2022-04-01;122767,18
2022-04-04;123803,38
2022-04-05;121612,09
2022-04-06;120503,72
2022-04-07;121165,18
2022-04-08;122202,61
2022-04-11;120086,58
2022-04-12;119641,89
2022-04-13;120619,15
2022-04-19;122201,34
2022-04-20;123016,12
2022-04-21;121489,50
2022-04-22;121516,80
2022-04-25;121190,98
2022-04-26;118913,00
2022-04-27;119339,30
2022-04-28;119675,26
2022-04-29;116657,26
2022-05-02;115815,23
2022-05-03;118603,41
2022-05-04;118364,79
2022-05-05;114478,99
2022-05-06;114613,38
2022-05-09;108886,15
2022-05-10;110789,88
2022-05-11;113757,27
2022-05-12;113706,17
2022-05-13;118335,80
2022-05-16;120117,65
2022-05-17;121257,88
2022-05-19;118367,43
2022-05-20;117680,03
2022-05-23;120689,11
2022-05-24;122197,14
2022-05-26;125535,92
2022-05-27;125261,93
2022-05-30;124801,38
2022-05-31;123366,39
2022-06-01;122008,29
2022-06-02;122097,40
2022-06-03;122466,91
2022-06-06;120455,17
2022-06-07;121161,52
2022-06-08;119600,80
2022-06-09;118015,56
2022-06-10;118462,88
2022-06-13;117086,74
2022-06-14;116472,83
2022-06-15;117832,17
2022-06-16;115974,22
2022-06-21;115340,43
2022-06-22;114205,35
2022-06-23;110703,57
2022-06-24;109864,36
2022-06-27;114242,97
2022-06-28;117612,21
2022-06-29;117294,16
2022-06-30;117331,13
2022-07-01;119692,46
2022-07-04;118061,13
2022-07-05;123297,15
2022-07-06;126156,35
2022-07-07;135141,93
2022-07-08;139798,41
2022-07-11;137905,30
2022-07-12;136178,22
2022-07-13;135110,06
2022-07-14;132593,33
2022-07-15;137375,10
2022-07-18;139547,93
2022-07-19;141873,69
2022-07-20;141124,43
2022-07-21;147979,05
2022-07-22;149789,54
2022-07-25;157482,40
2022-07-26;158311,90
2022-07-27;166675,98
2022-07-28;168821,97
2022-07-29;162584,48
2022-08-01;156276,92
2022-08-02;158193,56
2022-08-03;160595,67
2022-08-04;160513,01
2022-08-05;161016,07
2022-08-08;165389,31
2022-08-09;162540,76
2022-08-10;162181,45
2022-08-11;163922,52
2022-08-12;167932,02
2022-08-16;166581,54
2022-08-17;168337,64
2022-08-18;176035,21
2022-08-19;175101,67
2022-08-22;176511,73
2022-08-23;183522,38
2022-08-24;188033,46
2022-08-25;191696,16
2022-08-26;189913,85
2022-08-29;192635,90
2022-08-30;188678,51
2022-08-31;182329,82
2022-09-01;182224,21
2022-09-05;185560,37
2022-09-06;184421,20
2022-09-07;190105,56
2022-09-08;190748,17
2022-09-09;195593,05
2022-09-12;195663,51
2022-09-13;192674,51
2022-09-14;198238,13
2022-09-15;195888,58
2022-09-16;197542,45
2022-09-19;204653,44
2022-09-20;201494,58
2022-09-21;199877,74
2022-09-22;203089,39
2022-09-23;193032,06
2022-09-26;186102,28
2022-09-27;182305,29
2022-09-28;185990,82
2022-09-29;185786,71
2022-09-30;187282,08
2022-10-03;196497,34
2022-10-04;196708,98
2022-10-05;199840,61
2022-10-06;196691,69
2022-10-11;185831,66
2022-10-12;184527,79
2022-10-13;191143,31
2022-10-14;186262,20
2022-10-17;188717,30
2022-10-18;186749,21
2022-10-19;185497,31
2022-10-20;185145,96
2022-10-21;189124,32
2022-10-24;189800,89
2022-10-25;195877,06
2022-10-26;197268,83
2022-10-27;201338,76
2022-10-28;200386,43
2022-10-31;203168,96
2022-11-01;208132,95
2022-11-02;202902,21
2022-11-03;204788,88
2022-11-04;206088,97
2022-11-07;201106,57
2022-11-08;200619,34
2022-11-09;193055,64
2022-11-10;195313,37
2022-11-11;203279,77
2022-11-14;207069,91
2022-11-15;210870,86
2022-11-16;208759,31
2022-11-17;210567,66
2022-11-18;212764,85
2022-11-22;213977,67
2022-11-23;214765,84
2022-11-24;218066,41
2022-11-25;222301,02
2022-11-28;223065,41
2022-11-29;228846,61
2022-11-30;229328,29
2022-12-01;231995,44
2022-12-02;230995,52
2022-12-05;223427,78
2022-12-06;228738,68
2022-12-07;232820,88
2022-12-12;225843,12
2022-12-13;224305,58
2022-12-14;222263,22
2022-12-15;223031,28
2022-12-16;223722,01
2022-12-19;229909,25
2022-12-20;235062,94
2022-12-21;245642,34
2022-12-22;249516,45
2022-12-23;256520,64
2022-12-26;262613,15
2022-12-27;265782,01
2022-12-28;275744,01
2022-12-29;271486,16
2022-12-30;275218,11
2023-01-02;282562,29
2023-01-03;270134,46
2023-01-04;273466,93
2023-01-05;285951,48
2023-01-06;291294,94
2023-01-09;293867,32
2023-01-10;293778,75
