date,value
19-12-2022,1087366
20-12-2022,1182301
21-12-2022,924578
22-12-2022,925753
23-12-2022,864825
26-12-2022,910505
27-12-2022,958748
28-12-2022,986903
29-12-2022,1084415
30-12-2022,1109157
02-01-2023,1095770
03-01-2023,1114421
04-01-2023,1142162
05-01-2023,1124085
06-01-2023,1114986
09-01-2023,1244813
10-01-2023,1181400
11-01-2023,1228224
12-01-2023,1175252
13-01-2023,1207239
16-01-2023,1272097
17-01-2023,1238704
18-01-2023,1212017
19-01-2023,1227862
20-01-2023,1241386
23-01-2023,1300211
24-01-2023,1255567
25-01-2023,1191090
26-01-2023,1201701
27-01-2023,1279169
30-01-2023,1170947
31-01-2023,1253365
01-02-2023,1294489
02-02-2023,1101801
03-02-2023,1149209
06-02-2023,1134358
07-02-2023,1146970
08-02-2023,1116886
09-02-2023,1151601
10-02-2023,1164256
13-02-2023,1126953
14-02-2023,1125567
15-02-2023,1186323
16-02-2023,1232873
17-02-2023,1203394
22-02-2023,1169271
23-02-2023,1150026
24-02-2023,1085703
27-02-2023,1042721
28-02-2023,1147619
01-03-2023,1102645
02-03-2023,1083832
03-03-2023,1098234
06-03-2023,1060156
07-03-2023,1095284
08-03-2023,1095333
09-03-2023,1113903
10-03-2023,1095441
13-03-2023,1070515
14-03-2023,1208953
15-03-2023,1156651
16-03-2023,1143312
17-03-2023,1091971
20-03-2023,1024300
21-03-2023,1030055
22-03-2023,1036266
23-03-2023,1041780
27-03-2023,1042522
28-03-2023,1068545
29-03-2023,1025910
30-03-2023,1142261
31-03-2023,1278236
03-04-2023,1172947
04-04-2023,1108993
05-04-2023,1258504
10-04-2023,1142772
11-04-2023,1116190
12-04-2023,1032875
13-04-2023,1032201
14-04-2023,1002358
17-04-2023,1034050
18-04-2023,987778
19-04-2023,977362
20-04-2023,959938
21-04-2023,993037
24-04-2023,968165
25-04-2023,967244
26-04-2023,960082
27-04-2023,993542
28-04-2023,1132502
02-05-2023,1162749
03-05-2023,1158152
04-05-2023,1188160
05-05-2023,1179378
08-05-2023,1143276
09-05-2023,1176377
10-05-2023,1127795
11-05-2023,1113885
12-05-2023,1038294
15-05-2023,980229
16-05-2023,978676
17-05-2023,956827
18-05-2023,1004844
19-05-2023,1011529
22-05-2023,1030996
23-05-2023,1033531
24-05-2023,1094228
29-05-2023,1100377
30-05-2023,1173827
31-05-2023,1246364
01-06-2023,1236992
02-06-2023,1226617
05-06-2023,1058896
06-06-2023,1068806
07-06-2023,1073285
08-06-2023,1075830
09-06-2023,1116671
12-06-2023,1166417
13-06-2023,1144336
14-06-2023,1082553
15-06-2023,1058179
16-06-2023,1059503
21-06-2023,947243
22-06-2023,1026564
23-06-2023,1118279
26-06-2023,1040862
27-06-2023,1077537
28-06-2023,1049445
29-06-2023,1071879
30-06-2023,1202542
03-07-2023,1211500
04-07-2023,1107322
05-07-2023,1039221
06-07-2023,1696753
07-07-2023,1781268
10-07-2023,1036720
11-07-2023,1108915
12-07-2023,1040597
13-07-2023,1048072
14-07-2023,1093849
17-07-2023,1030523
18-07-2023,1092786
19-07-2023,1100482
20-07-2023,1135621
21-07-2023,1160238
24-07-2023,1091353
25-07-2023,1172775
26-07-2023,1149431
27-07-2023,1186814
28-07-2023,1142764
31-07-2023,1319857
01-08-2023,1291519
02-08-2023,1221613
03-08-2023,1229831
04-08-2023,1268234
07-08-2023,1247327
08-08-2023,1245636
09-08-2023,1196226
10-08-2023,1262016
11-08-2023,1364740
14-08-2023,1235097
15-08-2023,1274821
16-08-2023,1178552
17-08-2023,1221354
18-08-2023,1234794
22-08-2023,1133254
